iter	Passed	Remaining
0	138	138317
1	139	69523
2	141	46887
3	142	35441
4	143	28504
5	143	23838
6	145	20580
7	146	18144
8	147	16195
9	147	14634
10	148	13371
11	149	12308
12	150	11431
13	151	10654
14	151	9971
15	152	9377
16	153	8853
17	153	8389
18	154	7976
19	155	7638
20	156	7305
21	157	6997
22	158	6717
23	158	6456
24	159	6215
25	161	6033
26	161	5831
27	162	5640
28	163	5465
29	163	5302
30	164	5143
31	165	5013
32	166	4876
33	167	4749
34	167	4628
35	168	4516
36	169	4415
37	170	4316
38	171	4218
39	172	4131
40	173	4047
41	173	3960
42	174	3876
43	174	3799
44	175	3726
45	176	3656
46	176	3588
47	177	3526
48	178	3463
49	179	3402
50	179	3347
51	181	3300
52	181	3250
53	182	3198
54	183	3146
55	183	3096
56	184	3047
57	184	3002
58	185	2963
59	186	2923
60	187	2884
61	188	2849
62	188	2809
63	189	2770
64	189	2732
65	190	2700
66	191	2671
67	192	2639
68	193	2608
69	194	2577
70	194	2547
71	195	2517
72	196	2489
73	196	2463
74	197	2437
75	198	2412
76	199	2385
77	199	2358
78	200	2335
79	201	2312
80	202	2293
81	203	2274
82	203	2248
83	204	2226
84	204	2204
85	205	2183
86	205	2161
87	207	2145
88	208	2130
89	208	2109
90	209	2089
91	209	2069
92	210	2051
93	210	2033
94	211	2015
95	212	2001
96	213	1983
97	213	1967
98	214	1950
99	214	1933
100	215	1916
101	216	1902
102	216	1889
103	217	1877
104	218	1863
105	219	1848
106	219	1833
107	220	1822
108	221	1807
109	221	1794
110	222	1781
111	223	1770
112	223	1757
113	224	1745
114	225	1732
115	225	1719
116	226	1706
117	226	1694
118	227	1682
119	228	1673
120	228	1662
121	229	1650
122	230	1640
123	230	1629
124	231	1618
125	231	1607
126	232	1595
127	232	1584
128	233	1574
129	233	1565
130	234	1556
131	235	1546
132	235	1536
133	236	1526
134	236	1516
135	237	1507
136	237	1497
137	238	1490
138	239	1483
139	240	1475
140	240	1466
141	241	1456
142	241	1447
143	242	1439
144	242	1430
145	243	1422
146	244	1416
147	244	1409
148	245	1402
149	246	1394
150	246	1386
151	247	1380
152	248	1374
153	249	1368
154	249	1360
155	250	1353
156	250	1346
157	251	1340
158	252	1333
159	252	1326
160	252	1318
161	253	1313
162	254	1307
163	255	1301
164	255	1294
165	256	1287
166	256	1281
167	257	1274
168	257	1268
169	258	1262
170	259	1257
171	260	1252
172	260	1247
173	261	1241
174	262	1235
175	262	1230
176	263	1224
177	263	1218
178	264	1214
179	265	1209
180	266	1204
181	266	1199
182	267	1193
183	268	1188
184	268	1183
185	269	1177
186	269	1172
187	270	1169
188	271	1165
189	272	1160
190	272	1154
191	273	1149
192	273	1144
193	274	1139
194	275	1135
195	276	1132
196	276	1127
197	277	1123
198	278	1119
199	278	1114
200	279	1110
201	279	1105
202	280	1100
203	281	1098
204	282	1094
205	282	1090
206	283	1085
207	283	1081
208	284	1077
209	285	1072
210	285	1068
211	286	1065
212	287	1062
213	288	1059
214	289	1056
215	290	1052
216	290	1049
217	291	1047
218	292	1044
219	293	1041
220	294	1038
221	295	1035
222	296	1032
223	297	1030
224	298	1027
225	299	1024
226	299	1020
227	300	1017
228	300	1013
229	301	1009
230	302	1006
231	303	1004
232	304	1000
233	304	996
234	305	993
235	305	990
236	306	986
237	307	983
238	307	979
239	308	977
240	309	974
241	309	970
242	310	967
243	311	964
244	311	961
245	312	958
246	313	956
247	314	953
248	315	951
249	315	947
250	316	944
251	317	941
252	317	938
253	318	935
254	319	932
255	319	929
256	320	926
257	321	923
258	321	920
259	322	917
260	323	914
261	323	911
262	324	910
263	325	907
264	326	905
265	327	902
266	327	899
267	328	896
268	328	893
269	329	891
270	330	889
271	331	887
272	332	884
273	332	881
274	333	878
275	333	875
276	334	873
277	335	870
278	336	868
279	336	865
280	337	863
281	338	860
282	338	858
283	339	855
284	340	853
285	341	851
286	341	849
287	342	846
288	343	844
289	344	842
290	344	839
291	345	837
292	346	835
293	347	833
294	347	830
295	348	828
296	349	826
297	349	823
298	350	821
299	351	819
300	352	817
301	352	815
302	353	813
303	354	810
304	354	808
305	355	805
306	355	803
307	356	801
308	357	799
309	358	797
310	359	795
311	359	793
312	360	791
313	361	788
314	362	787
315	362	785
316	363	783
317	364	781
318	365	779
319	365	776
320	366	774
321	366	772
322	367	770
323	368	768
324	369	766
325	369	764
326	370	762
327	371	760
328	371	758
329	372	756
330	373	754
331	374	752
332	375	751
333	376	749
334	376	747
335	377	745
336	378	744
337	379	742
338	379	740
339	380	739
340	381	737
341	382	735
342	382	733
343	383	731
344	384	729
345	385	727
346	385	726
347	386	723
348	386	721
349	387	719
350	388	718
351	389	717
352	390	715
353	391	714
354	392	713
355	393	711
356	394	709
357	395	708
358	395	706
359	396	705
360	397	703
361	397	701
362	398	699
363	400	699
364	400	697
365	401	695
366	402	693
367	402	691
368	403	689
369	404	688
370	405	686
371	405	685
372	406	683
373	407	681
374	407	679
375	408	677
376	409	676
377	409	674
378	410	673
379	411	672
380	412	670
381	413	669
382	414	667
383	415	665
384	416	665
385	417	663
